,,,,,,,,Two color points Chart 1:,,,,,,,,,,,,,,,FDR cut-off,
ID,Uniprot Accession,Description,gene_name,-Log Student's T-test p-value,Student's T-test Difference,FDR Significant ,significant or not,Significant,Not significant,MS/MS count 957,MS/MS count 958,MS/MS count 959,MS/MS count 960,MS/MS count 961,MS/MS count 962,LFQ intensity 957,LFQ intensity 958,LFQ intensity 959,LFQ intensity 960,LFQ intensity 961,LFQ intensity 962,,x,y
3444,Q9H857,5-nucleotidase domain-containing protein 2,NT5DC2,1.547,-1.759,+,Significant,-1.759,#N/A,1,0,2,2,3,3,19.004,20.609,20.319,21.448,22.050,21.709,,29.3,1.0
3281,Q9BX40,Protein LSM14 homolog B,LSM14B,1.733,-1.744,+,Significant,-1.744,#N/A,0,0,1,4,5,2,21.855,20.569,20.749,22.682,23.214,22.510,,29.2,1.0
3494,Q9HCE1,Putative helicase MOV-10,MOV10,2.441,-1.736,+,Significant,-1.736,#N/A,5,2,7,13,12,19,22.400,22.106,22.239,23.820,23.619,24.513,,29.2,1.0
1669,P82932,"28S ribosomal protein S6, mitochondrial",MRPS6,1.540,-1.733,+,Significant,-1.733,#N/A,1,0,1,2,2,2,20.798,22.522,21.560,23.253,23.642,23.182,,29.2,1.0
2747,Q8TCS8,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",PNPT1,2.019,-1.697,+,Significant,-1.697,#N/A,4,4,3,8,15,10,21.562,22.290,21.397,23.298,23.914,23.128,,29.2,1.0
3178,Q9BQ52,Zinc phosphodiesterase ELAC protein 2,ELAC2,2.929,-1.686,+,Significant,-1.686,#N/A,5,0,1,1,0,0,26.963,27.136,26.689,28.917,28.386,28.541,,29.2,1.0
3720,Q9P0M9,"39S ribosomal protein L27, mitochondrial",MRPL27,3.157,-1.676,+,Significant,-1.676,#N/A,1,1,1,2,1,2,20.822,20.788,20.366,22.163,22.333,22.508,,29.2,1.0
1876,Q13242,Serine/arginine-rich splicing factor 9,SRSF9,2.480,-1.675,+,Significant,-1.675,#N/A,12,6,7,12,9,11,24.835,23.989,24.103,26.051,25.963,25.938,,29.2,1.0
1158,P36776,"Lon protease homolog, mitochondrial",LONP1,4.979,-1.659,+,Significant,-1.659,#N/A,19,16,12,20,18,18,23.710,23.688,23.617,25.436,25.264,25.291,,29.2,1.0
2248,Q5JTZ9,"Alanine--tRNA ligase, mitochondrial",AARS2,1.499,-1.659,+,Significant,-1.659,#N/A,1,1,2,4,3,5,21.500,19.890,20.996,22.502,22.757,22.103,,29.2,1.0
781,P11498,"Pyruvate carboxylase, mitochondrial",PC,2.511,-1.589,+,Significant,-1.589,#N/A,7,8,4,15,15,14,22.323,22.431,22.684,24.256,24.329,23.621,,29.2,1.0
1345,P49903,"Selenide, water dikinase 1",SEPHS1,1.707,-1.524,+,Significant,-1.524,#N/A,1,0,1,0,0,1,20.184,20.318,20.041,21.892,20.944,22.279,,29.1,1.0
2966,Q96EY8,"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial",MMAB,2.056,-1.501,+,Significant,-1.501,#N/A,1,2,3,5,2,5,22.304,22.472,21.744,23.590,23.336,24.098,,29.1,1.0
1387,P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial",ALDH5A1,3.054,-1.469,+,Significant,-1.469,#N/A,1,0,0,2,2,1,20.488,19.971,20.422,21.804,21.703,21.780,,29.1,1.0
1782,Q07955,Serine/arginine-rich splicing factor 1,SRSF1,2.373,-1.455,+,Significant,-1.455,#N/A,17,7,8,13,15,14,24.589,24.286,23.765,25.674,25.559,25.771,,29.1,1.0
2396,Q6PI48,"Aspartate--tRNA ligase, mitochondrial",DARS2,2.038,-1.453,+,Significant,-1.453,#N/A,4,5,4,16,9,12,23.627,23.548,22.861,25.128,24.793,24.475,,29.1,1.0
3710,Q9P015,"39S ribosomal protein L15, mitochondrial",MRPL15,4.217,-1.448,+,Significant,-1.448,#N/A,2,1,2,3,5,4,22.042,22.174,22.128,23.618,23.419,23.650,,29.1,1.0
2927,Q96CM8,"Acyl-CoA synthetase family member 2, mitochondrial",ACSF2,1.674,-1.430,+,Significant,-1.430,#N/A,2,0,3,5,4,1,22.238,21.027,22.140,23.248,23.247,23.201,,29.1,1.0
569,O95831,"Apoptosis-inducing factor 1, mitochondrial",AIFM1,2.860,-1.407,+,Significant,-1.407,#N/A,8,8,8,10,10,15,23.170,23.262,22.860,24.257,24.560,24.695,,29.1,1.0
505,O94992,Protein HEXIM1,HEXIM1,2.621,-1.405,+,Significant,-1.405,#N/A,4,2,5,6,9,4,22.732,22.347,22.490,23.932,23.627,24.223,,29.1,1.0
1236,P43155,Carnitine O-acetyltransferase,CRAT,2.640,-1.403,+,Significant,-1.403,#N/A,8,5,4,15,13,6,22.874,23.034,23.167,24.415,24.754,24.116,,29.1,1.0
2962,Q96EY1,"DnaJ homolog subfamily A member 3, mitochondrial",DNAJA3,1.804,-1.398,+,Significant,-1.398,#N/A,4,3,4,6,6,4,22.795,22.298,23.378,24.019,24.518,24.127,,29.0,1.0
1833,Q12929,Epidermal growth factor receptor kinase substrate 8,EPS8,3.235,-1.394,+,Significant,-1.394,#N/A,2,4,2,2,2,2,20.832,20.480,20.665,21.882,22.057,22.219,,29.0,1.0
2158,Q16630,Cleavage and polyadenylation specificity factor subunit 6,CPSF6,2.433,-1.390,+,Significant,-1.390,#N/A,5,4,6,7,6,7,23.157,22.672,22.627,24.139,23.986,24.503,,29.0,1.0
1109,P34897,"Serine hydroxymethyltransferase, mitochondrial",SHMT2,3.556,-1.361,+,Significant,-1.361,#N/A,30,27,27,32,33,27,26.119,26.423,26.223,27.661,27.708,27.479,,29.0,1.0
1231,P42765,"3-ketoacyl-CoA thiolase, mitochondrial",ACAA2,2.593,-1.361,+,Significant,-1.361,#N/A,1,1,0,4,4,1,22.548,22.973,22.383,24.060,24.128,23.798,,29.0,1.0
1456,P55072,Transitional endoplasmic reticulum ATPase,VCP,2.635,-1.346,+,Significant,-1.346,#N/A,20,20,15,30,21,22,25.087,25.336,24.744,26.251,26.383,26.571,,29.0,1.0
1086,P31942,Heterogeneous nuclear ribonucleoprotein H3,HNRNPH3,1.932,-1.336,+,Significant,-1.336,#N/A,18,2,7,8,10,10,24.369,23.432,23.683,25.376,24.970,25.146,,29.0,1.0
2813,Q8WXF1,Paraspeckle component 1,PSPC1,2.408,-1.331,+,Significant,-1.331,#N/A,6,3,5,8,6,8,23.515,23.484,23.430,24.650,24.527,25.243,,29.0,1.0
4,A0AV96,RNA-binding protein 47,RBM47,2.866,-1.330,+,Significant,-1.330,#N/A,7,4,3,9,4,1,22.116,21.695,22.131,23.395,23.136,23.400,,29.0,1.0
936,P22033,"Methylmalonyl-CoA mutase, mitochondrial",MUT,1.690,-1.321,+,Significant,-1.321,#N/A,5,6,6,11,11,5,22.674,22.823,21.863,23.939,23.993,23.391,,29.0,1.0
4091,Q9Y6A5,Transforming acidic coiled-coil-containing protein 3,TACC3,2.480,-1.315,+,Significant,-1.315,#N/A,1,2,1,1,1,2,21.015,20.345,20.562,21.818,21.988,22.060,,28.9,1.0
2958,Q96EP5,DAZ-associated protein 1,DAZAP1,2.132,-1.291,+,Significant,-1.291,#N/A,6,3,3,6,3,4,24.466,24.030,23.588,25.404,25.288,25.265,,28.9,1.0
760,P10644,"cAMP-dependent protein kinase type I-alpha regulatory subunit;cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed",PRKAR1A,2.049,-1.289,+,Significant,-1.289,#N/A,5,6,3,7,6,5,22.161,22.758,22.379,23.766,24.057,23.342,,28.9,1.0
3089,Q96RQ3,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",MCCC1,2.264,-1.285,+,Significant,-1.285,#N/A,8,10,12,13,18,16,23.381,23.839,24.160,25.176,24.958,25.100,,28.9,1.0
3115,Q96TC7,Regulator of microtubule dynamics protein 3,RMDN3,2.651,-1.272,+,Significant,-1.272,#N/A,1,1,1,3,4,3,21.084,21.356,20.974,22.649,22.426,22.154,,28.9,1.0
4020,Q9Y3Y2,Chromatin target of PRMT1 protein,CHTOP,2.168,-1.266,+,Significant,-1.266,#N/A,3,2,1,3,3,2,23.236,22.774,22.404,24.060,23.984,24.167,,28.9,1.0
2172,Q16822,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",PCK2,2.825,-1.264,+,Significant,-1.264,#N/A,8,9,6,11,11,14,24.333,23.815,23.901,25.244,25.257,25.341,,28.9,1.0
1230,P42704,"Leucine-rich PPR motif-containing protein, mitochondrial",LRPPRC,2.802,-1.254,+,Significant,-1.254,#N/A,53,50,61,75,73,64,25.928,25.665,25.792,27.077,27.286,26.784,,28.9,1.0
795,P12532,"Creatine kinase U-type, mitochondrial",CKMT1A,1.938,-1.251,+,Significant,-1.251,#N/A,10,13,14,17,12,10,25.329,25.492,25.424,26.572,26.237,27.190,,28.9,1.0
3969,Q9Y2S7,Polymerase delta-interacting protein 2,POLDIP2,2.243,-1.246,+,Significant,-1.246,#N/A,4,6,4,5,7,7,22.887,22.432,22.541,23.499,23.997,24.101,,28.9,1.0
971,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,3.211,-1.237,+,Significant,-1.237,#N/A,24,14,19,25,28,20,25.775,25.990,25.807,27.062,27.295,26.927,,28.8,1.0
753,P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",DLAT,2.200,-1.232,+,Significant,-1.232,#N/A,16,15,15,14,15,12,24.705,24.957,25.382,26.140,26.498,26.100,,28.8,1.0
3338,Q9GZT3,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP,2.379,-1.224,+,Significant,-1.224,#N/A,5,7,8,9,7,7,23.940,24.618,24.278,25.489,25.388,25.630,,28.8,1.0
1861,Q13151,Heterogeneous nuclear ribonucleoprotein A0,HNRNPA0,2.161,-1.220,+,Significant,-1.220,#N/A,9,5,3,4,6,3,24.577,24.174,24.818,25.692,25.518,26.019,,28.8,1.0
410,O75362,Zinc finger protein 217,ZNF217,2.133,-1.220,+,Significant,-1.220,#N/A,3,3,4,0,0,0,18.953,18.812,19.485,20.195,20.562,20.152,,28.8,1.0
