Protein ID,Gene,GR_1 Intensity,GR_2 Intensity,GR_3 Intensity,IgG_1 Intensity,IgG_2 Intensity,IgG_3 Intensity,GR_vs_IgG_log2 fold change,GR_vs_IgG_p.val,GR_vs_IgG_p.adj,significant
Q04695,KRT17,3.87E+05,NA,NA,NA,NA,NA,1.5,2.83E-01,2.96E-01,FALSE
P67936,TPM4,NA,3.54E+05,NA,NA,NA,NA,1.46,2.84E-01,2.96E-01,FALSE
Q07666,KHDRBS1,NA,3.46E+05,NA,NA,NA,NA,1.45,2.84E-01,2.96E-01,FALSE
P78371,CCT2,NA,2.18E+05,NA,NA,NA,NA,1.23,2.92E-01,3.03E-01,FALSE
P0DMV8,HSPA1A,2.35E+06,1.32E+05,NA,NA,1.88E+05,NA,2.2,3.02E-01,3.11E-01,FALSE
P59998,ARPC4,NA,1.35E+05,NA,NA,NA,NA,0.997,3.06E-01,3.13E-01,FALSE
P02768,ALB,NA,NA,1.06E+05,NA,NA,NA,0.881,3.17E-01,3.23E-01,FALSE
P63104,YWHAZ,NA,8.63E+04,NA,NA,NA,NA,0.782,3.30E-01,3.34E-01,FALSE
P08727,KRT19,NA,5.75E+04,NA,NA,NA,NA,0.586,3.72E-01,3.74E-01,FALSE
P21796,VDAC1,NA,2.49E+04,NA,NA,NA,NA,0.184,6.69E-01,6.69E-01,FALSE
